编号,中文,英语,定义,注释
4.12.47,平均修复时间,mean repair time MTTR,修复时间的平均值。,注：通常用修复时间的总和与修理次数之比表示。
4.12.48,冗余,redundancy,仪器为完成所需功能所具有的一种以上的手段。,
4.12.49,测试,measurement and test,,注：可理解为试验和测量的全过程。
4.12.50,仪器检验,instrument test,按照规定的程序，确定仪器的质量是否符合规定的技术和性能指标的技术操作。,注：检验结果通常被记录在称为检验报告或检验证书的文件中。
4.12.50.1,型式检验,type test,根据产品标准或技术条件的规定，对产品所进行的全性能检验。,
4.12.50.2,出厂检验,routine test,在出厂前对每台仪器所进行的是否符合出厂要求的检验。,
4.12.51,仪器试验,instrument experiment,对一个产品或设备的特性和性能进行量度、定量分析或分类所实施的实验。,
4.12.51.1,系统性能试验,system performance experiment,在水位、雨量、温度等过程主要参数均处正常或模拟正常条件下对系统进行的试验。,
4.12.51.2,压力试验,pressure test,根据水文仪器的最大工作水深，检查其水下装置的强度和密封能力的试验。,
4.12.52,仪器校准,instrument calibration,在规定条件下，为确定测量仪器或测量系统所指示的量值，或实物量具或参考物质所代表的量值，与对应的由标准所复现的量值之间关系的一组操作。,注 1：校准结果既可赋予被测量以示值，又可确定示值的修正值。注 2：校准也可确定其它计量特性，如影响量的作用。；注 3：校准结果可以记录在校准证书或校准报告中。
4.12.53,仪器检定,instrument verification,查明和确认仪器的特性和性能是否符合规定要求的认定，包括检查、加标记和（或）出 具检定证书。,
4.12.54,仪器验证,instrument verification,对产品或设备的特性和性能符合规定要求的认定。,
4.12.55,雨量观测标准,measuring standard for rainfall,用于定义、实现、保存或复现雨量观测值的测量系统装置。,
4.12.56,水位测量标准,measuring standard for stage,用于定义、实现、保存或复现水位量值的测量系统装置。,
4.12.57,流速观测标准,measuring standard for flow velocity,用于定义、实现、保存或复现流速观测值的测量系统装置。,
4.12.58,误差曲线,error curve,表示误差与被测量（或对该误差有影响的任何其他量）的函数关系的曲线。,
4.12.59,修正值,correction,用代数方法与未修正测量结果相加，以补偿其系统误差的值。,注 1：修正值等于负的系统误差。；注 2：由于系统误差不能完全获知，因此这种补偿并不完全。
4.12.60,雨量计检定,verification of rainfall recorder,,
4.12.60.1,湿润损失,loss of wetness,进入雨量计承雨口的降雨在流入翻斗等雨量计量部件前被承雨口等内壁吸附，而没有得 到计量的部分雨量。,
4.12.60.2,翻斗计量误差,measuring error of tipping bucket,,注：用相对误差表示，基本上就是翻斗雨量计的测量误差。
4.12.60.3,注入水量,quantity of inflow water,,
4.12.60.4,雨量计滴定装置,test device for rainfall recorder,能模拟稳定的降雨强度，对雨量计进行雨量测量准确度测试的专用计量设备。,
4.12.60.5,虹吸时间,siphon period,虹吸雨量计一次虹吸经过的历时。,
4.12.60.6,标准球,standard container,用于检测虹吸雨量计雨量测量准确度的球状标准水量容器。,
4.12.61,水位计检定,verification of stage gauge,,
4.12.61.1,水位计灵敏阈,sense threshold of stage gauge,能使水位计输出产生变化的最小水位变化值。,
4.12.61.2,水位计回差,hysteresis of stage gauge,在相同工作条件下，对应同一水位的上升行程和下降行程，其水位测量值的最大偏差。,
4.12.61.3,水位计测量误差,measuring error of stage gauge,,注 1：室内试验时，水位约定真值是水位检定试验台提供的准确水位值；在现场应用试验时，水位约定真值是人工观读水尺或性能更好的水位计测值。；注 2：水位计测量误差用绝对误差或以水位测量范围的相对值表示。；注 3：宜用置信水平为 95%的水位测量范围的相对不确定度表示。
4.12.62,流速流量仪器检定,verification of current meter and flow meter,对流速、流量仪器的计量检测。,
4.12.62.1,标准流速仪,standard current meter,性能稳定、被精确检定过的作为流速仪检定槽或其他流速仪比对基准的流速仪。,
4.12.62.2,检定槽,calibration tank；rating tank,配有专门设施用来进行流速仪检定的专用水槽。,
4.12.62.3,静水检定槽,still water calibration tank,配有专门设施用来进行流速仪检定的专用静水水槽。,注：水槽内的水保持静态不流动，检定装置及仪器在静态水槽内运动。
4.12.62.4,动水检定槽,flowing water calibration tank,,注：水槽内的水是流动的，检定装置及仪器在水槽内保持静止状态。
4.12.62.5,检定车,calibration carriage,安装有测速记录装置并沿检定槽轨道运动以实施流速仪检定作业的专用设备。,
4.12.62.6,检定公式,calibration equation,表述流速仪通过检定得出的实际流速和流速仪输出信号之间关系的计算公式。,
4.12.62.7,仪器常数,instrument constant,与转子式流速仪的转子结构和旋转摩阻力有关的检定公式常数。,
4.12.62.8,水力螺距,hydraulic screw pitch,在静水中，转子每转一周所推进的距离。,
4.12.62.9,转子转率,rate of rotor,测速时，转子总转数与相应的转动历时之比。,
4.12.62.10,检定公式上延,upward extension of calibration equation,当一般检定槽的高速端受到设备限制达不到测速范围上限值，可通过与高速水槽的比测，证实检定精度和性能符合要求，将检定公式的使用范围相应的上延。,
4.12.62.11,最低响应速度,minimum speed of response,使转子开始连续、稳定转动的最低水流速度。,
4.12.62.12,低速,V～n,通过检定得出的转子式流速仪临界速度点以下的 V～n 关系曲线。,
4.12.62.12,关系曲线,low velocity V～n curve,通过检定得出的转子式流速仪临界速度点以下的 V～n 关系曲线。,
4.12.62.13,流速仪检定表,calibration table of current meter,,
4.12.62.14,爱泼尔效应,Epper effect,在检定槽中检定流速仪时，由于流速仪及其悬杆向前运动产生的波峰引起湿润断面高度的增加和相对速度降低的现象。,
4.12.62.15,全线相对均方差,relative standard deviation of calibration equation,,注 1：我国曾长期用于表示转子式流速仪检定误差。；注 2：此表示方式将被各流速级平均相对误差取代。
4.13.62.16,流量计检定装置,calibration device of flow meter,能产生较高准确度等级的通过水流流量和总水量数据，可以用于检测管道、明渠流量量测仪器的专用设备。,
5.1.1,水文资料,hydrological data,水文数据 实测和调查各种水文要素的观测记录及其整理、统计、分析的各种数据与成果的总称。,注 1：实测资料一般包括水文原始记录和由记录整理汇编成的水文年鉴、水文特征值统计、水文图集、水文手册以及各种水文资料报告等。；；；；；；；；；；注 2：调查资料一般包括历史洪水调查资料、历史枯水调查资料以及其他实地调查收集到的历史水文；文献资料等。
5.1.1.1,原始资料,raw data,在现场对各种水文要素进行勘测、调查、测量及计算所获得的第一手基本成果。,
5.1.1.2,实测资料,observed data,在现场对各种水文要素进行测量所获得的成果。,
5.1.1.3,调查资料,investigating data,采用勘测、调查、访问、考证等手段所获取的成果。,
5.1.1.4,划线记录,graphic chart recording,在记录纸上用记录笔划线的方式记录被测量参数随时间变化的过程。,
5.1.1.5,固态存储记录,solid state memory recording,用固态存储器作为存储介质，记录被测量参数随时间的变化过程。,
5.1.2,测站沿革,hydrometric station evolution,水文测站的设立、停测、恢复、迁移，测站性质和类别变动，领导机关转移等演化变革的历程。,
5.1.3,测站分布图,hydrometric station distribution map,将各种水文测站以不同符号和统一编号标绘在流域或地区相应位置上的地图。,
5.1.4,站年,station year,水文资料系列的统计单位。,注：以单站观测一年的资料为一站年。
5.1.5,有效数字,significant digit,在分析工作中实际能够测量到的数字。,注 1：即测量结果中能够反映被测量大小的带有一位存疑数字的全部数字。；注 2：对一个具体数据而言，一般取其可靠位数的全部数字加上第一位可疑数字。
5.1.6,水文年鉴,hydrological yearbook,,注：按流域水系统一编排卷册逐年刊印。
5.1.7,公益性水文资料,hydrological data for public welfare,为非赢利和具有社会效益性质的项目或工作提供的水文资料。,注：公益性水文资料范围为实时报汛资料、经过整编的国家基本水文测站的基本水文资料。
5.1.8,水文资料共享,hydrological data sharing,不同层次、不同部门之间的水文资料交流与共用。,
5.1.9,气象资料,meteorological data,各种气象要素的测量、调查、记录及其整理分析成果的总称。,
5.1.10,水文地质资料,hydro-geologic data,各种地下水要素及其地质环境的测量、调查、记录、资料整理分析成果的总称。,
5.2.1,水文资料整编,hydrological data processing,对原始水文资料按规范规定进行考证、整理、分析、统计、审查、汇编、刊印或存储的全部技术工作。,
5.2.1.1,定线,determination of relation curve,建立两种或两种以上实测水文要素值间关系线的分析工作。,
5.2.1.2,水文资料插补,hydrological data interpolation,根据水文资料中断前后的实测值，相邻测站的同期资料或用其它方法推算出中断部分数据的工作。,
5.2.1.3,水文资料改正,hydrological data correction,对实测水文资料进行校核、合理性检查或审查过程中，按照科学方法对其中发现的明显差错或不合理的反常现象进行的分析处理及校正工作。,
